n,rho,mu,mean_waiting_time,ci_lower,ci_upper,variance,runs
1,0.6,1,1.4964776287856234,1.494108213340933,1.498847044230314,5.259458259164727,100
1,0.6,1,1.4989013842354193,1.4972257946223575,1.500576973848481,5.260950644842165,200
1,0.6,1,1.5030744628495514,1.5017024599559705,1.5044464657431322,5.293246627629927,300
2,0.6,1,0.565065848694861,0.5642995224891036,0.5658321749006183,1.100757900818295,100
2,0.6,1,0.5616873104960691,0.5611486870382573,0.562225933953881,1.08783385570319,200
2,0.6,1,0.5613761803001797,0.5609369099312702,0.5618154506690891,1.0850428068956133,300
4,0.6,1,0.17848722554714247,0.17826198572711138,0.17871246536717356,0.1900742411745335,100
4,0.6,1,0.1793838258095077,0.17922380574618002,0.1795438458728354,0.1920327198246489,200
4,0.6,1,0.17967093906125198,0.17954009483845979,0.17980178328404417,0.19255986994997404,300
1,0.7333333333333333,1,2.754497463025211,2.7511066995436506,2.757888226506771,13.164272099250669,100
1,0.7333333333333333,1,2.7416724103627756,2.7392950172737094,2.744049803451842,12.943926905801417,200
1,0.7333333333333333,1,2.7510490561104857,2.749099420360254,2.7529986918607174,13.057826930413079,300
2,0.7333333333333333,1,1.1605961799605744,1.1594479558678232,1.1617444040533256,3.0186145872149384,100
2,0.7333333333333333,1,1.163316102796681,1.1625071786738121,1.1641250269195498,2.9979557164224695,200
2,0.7333333333333333,1,1.166270247012565,1.1656072017098125,1.1669332923153175,3.0212054457109514,300
4,0.7333333333333333,1,0.45013074484642485,0.4497576579663716,0.45050383172647807,0.6375080647970354,100
4,0.7333333333333333,1,0.4522361518497058,0.45197135602116756,0.452500947678244,0.6425715906269202,200
4,0.7333333333333333,1,0.45124075178234074,0.4510244517090207,0.45145705185566076,0.6429957211963102,300
1,0.8666666666666667,1,6.47871684706401,6.472382709733843,6.485050984394178,54.29365704093379,100
1,0.8666666666666667,1,6.499066776921099,6.494573063710346,6.503560490131852,54.653964662652335,200
1,0.8666666666666667,1,6.476986850286873,6.473327603454156,6.48064609711959,54.354931712381024,300
2,0.8666666666666667,1,3.0017387140129332,2.999532956319033,3.0039444717068333,13.168962202561804,100
2,0.8666666666666667,1,3.010316632074347,3.0087434263014354,3.0118898378472587,13.398466612977113,200
2,0.8666666666666667,1,3.0336397609108676,3.032335469183718,3.0349440526380174,13.815426183673404,300
4,0.8666666666666667,1,1.3563471916570011,1.3555699656201103,1.357124417693892,3.2714796997163553,100
4,0.8666666666666667,1,1.3522009317854145,1.3516522954189394,1.3527495681518895,3.2602427795813957,200
4,0.8666666666666667,1,1.3491114166755913,1.34866482317363,1.3495580101775526,3.2394095683249025,300
1,1.0,1,170.6407347231305,170.52388466182586,170.75758478443512,21227.72422685589,100
1,1.0,1,182.1825836515464,182.09385159138796,182.27131571170483,24492.77941536374,200
1,1.0,1,189.95363719238415,189.87585183183086,190.03142255293744,28220.66316277071,300
2,1.0,1,127.4784597067529,127.41635028478119,127.54056912872461,12014.036257733216,100
2,1.0,1,126.82160326468872,126.77456054652995,126.86864598284748,13779.790952781426,200
2,1.0,1,132.75286807257334,132.7156988544907,132.79003729065596,12906.182722902136,300
4,1.0,1,89.65205805675402,89.62194811391294,89.6821679995951,5650.841908281948,100
4,1.0,1,92.26464605090014,92.24177697504048,92.2875151267598,6519.896932674649,200
4,1.0,1,87.94886968397722,87.93136492733379,87.96637444062065,5730.61326179383,300
